Nasdaq Traded,Symbol,Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Fortune 500
Y,EPRF,Innovator S&P Investment Grade Preferred ETF,Z, ,Y,100,N,,EPRF,EPRF,N,N
Y,EPRT,"Essential Properties Realty Trust, Inc. Common Stock",N, ,N,100,N,,EPRT,EPRT,N,N
Y,EPS,WisdomTree U.S. LargeCap Fund,P, ,Y,100,N,,EPS,EPS,N,N
Y,EPSN,Epsilon Energy Ltd. - Common Shares,Q,G,N,100,N,N,,EPSN,N,N
Y,EPU,iShares Trust iShares MSCI Peru ETF,P, ,Y,100,N,,EPU,EPU,N,N
Y,EPV,ProShares UltraShort FTSE Europe ETF,P, ,Y,100,N,,EPV,EPV,N,N
Y,EPZM,"Epizyme, Inc. - Common Stock",Q,Q,N,100,N,N,,EPZM,N,N
Y,EQ,"Equillium, Inc. - Common Stock",Q,G,N,100,N,N,,EQ,N,N
Y,EQAL,Invesco Russell 1000 Equal Weight ETF,P, ,Y,100,N,,EQAL,EQAL,N,N
Y,EQBK,"Equity Bancshares, Inc. - Class A Common Stock",Q,Q,N,100,N,N,,EQBK,N,N
Y,EQC,Equity Commonwealth Common Shares of Beneficial Interest,N, ,N,100,N,,EQC,EQC,N,N
Y,EQC$D,Equity Commonwealth 6.50% Pfd Conv Shs Ser D,N, ,N,100,N,,EQCpD,EQC-D,N,N
Y,EQD.U,Equity Distribution Acquisition Corp. Units,N, ,N,100,N,,EQD.U,EQD=,N,N
Y,EQH,"Equitable Holdings, Inc. Common Stock",N, ,N,100,N,,EQH,EQH,N,N
Y,EQH$A,"Equitable Holdings, Inc. Depositary Shares",N, ,N,100,N,,EQHpA,EQH-A,N,N
Y,EQIX,"Equinix, Inc. - Common Stock",Q,Q,N,100,N,N,,EQIX,N,Y
Y,EQL,ALPS Equal Sector Weight ETF,P, ,Y,100,N,,EQL,EQL,N,N
Y,EQNR,Equinor ASA,N, ,N,100,N,,EQNR,EQNR,N,N
